类别,材料(化学式),中文名,临界温度 Tc (K),晶体结构,类型(I/II),超导机制,条件,发现年份,备注
A15结构金属间化合物,Nb3Ge,铌三锗,23.2,A15 (Pm-3n),II,常规,常压(薄膜),1973,A15最高Tc; 薄膜溅射
A15结构金属间化合物,Ti3Se,钛三硒,21.3,A15,II,常规,高压,2022,高压A15
A15结构金属间化合物,Nb3Ga,铌三镓,20.7,A15,II,常规,常压,1971,
A15结构金属间化合物,Ti3Te,钛三碲,~20,A15,II,常规,高压,2024,高压A15
A15结构金属间化合物,Nb3Al,铌三铝,18.9,A15,II,常规,常压,1965,
A15结构金属间化合物,Nb3Sn,铌三锡,18.0,A15,II,常规,常压,1954,ITER/NMR磁体主力材料
A15结构金属间化合物,V3Si,钒三硅,17.1,A15,II,常规,常压,1954,最早A15超导体之一
A15结构金属间化合物,V3Ga,钒三镓,15.9,A15,II,常规,常压,1965,
A15结构金属间化合物,Mo3Tc,钼三锝,15.0,A15,II,常规,常压,1965,
A15结构金属间化合物,Nb3Au,铌三金,11.0,A15,II,常规,常压,1965,
A15结构金属间化合物,Ti3Sb,钛三锑,6.7,A15,II,常规,常压,2019,
A15结构金属间化合物,V3Ge,钒三锗,6.0,A15,II,常规,常压,1965,
A15结构金属间化合物,Ti3Ir,钛三铱,4.3,A15,II,常规,常压,2019,
A15结构金属间化合物,Ti3Pt,钛三铂,0.5,A15,II,常规,常压,1965,
元素超导体(常压),Nb,铌,9.25,bcc,I/II,常规,常压,1954,最高Tc元素
元素超导体(常压),Tc,锝,7.8,hcp,II,常规,常压,1962,
元素超导体(常压),Pb,铅,7.2,fcc,I,常规,常压,1913,最早发现的超导体之一
元素超导体(常压),La,镧(β),6.0,fcc,I,常规,高压>2.5GPa,1971,高压相
元素超导体(常压),V,钒,5.4,bcc,II,常规,常压,1957,
元素超导体(常压),La,镧(α),4.88,dhcp,I,常规,常压,1961,
元素超导体(常压),Ta,钽,4.48,bcc,II,常规,常压,1928,
元素超导体(常压),Hg,汞,4.15,Rhombohedral,I,常规,常压,1911,首个超导体
元素超导体(常压),Sn,锡,3.72,Tetragonal,I,常规,常压,1913,
元素超导体(常压),In,铟,3.41,Tetragonal,I,常规,常压,1934,
元素超导体(常压),Tl,铊,2.39,hcp,I,常规,常压,1934,
元素超导体(常压),Re,铼,1.7,hcp,II,常规,常压,1962,
元素超导体(常压),Al,铝,1.19,fcc,I,常规,常压,1956,
元素超导体(常压),Ga,镓,1.09,Orthorhombic,I,常规,常压,1936,
元素超导体(常压),Mo,钼,0.92,bcc,II,常规,常压,1962,
元素超导体(常压),Zn,锌,0.85,hcp,I,常规,常压,1957,
元素超导体(常压),U,铀,0.68,Orthorhombic,II,非常规?,常压,1972,重费米子?
元素超导体(常压),Os,锇,0.66,hcp,II,常规,常压,1962,
元素超导体(常压),Zr,锆,0.61,hcp,II,常规,常压,1957,
元素超导体(常压),Cd,镉,0.52,hcp,I,常规,常压,1957,
元素超导体(常压),Ru,钌,0.49,hcp,II,常规,常压,1962,
元素超导体(常压),Ti,钛,0.4,hcp,II,常规,常压,1957,
元素超导体(常压),Hf,铪,0.13,hcp,II,常规,常压,1962,
元素超导体(常压),Ir,铱,0.11,fcc,II,常规,常压,1962,
元素超导体(常压),Be,铍,0.026,hcp,II,常规,常压,1958,
元素超导体(常压),W,钨,0.015,bcc,II,常规,常压,1962,
元素超导体(常压),Bi,铋,0.00053,Rhombohedral,I,常规,常压,1962,最低Tc元素
元素超导体(高压),Ca,钙,29.0,多种,II,常规,高压>216GPa,2018,
元素超导体(高压),Li,锂,20.0,bcc/fcc,II,常规,高压>50GPa,1969,最高Tc元素(高压)
元素超导体(高压),S,硫,17.0,多种,II,常规,高压>160GPa,2014,
元素超导体(高压),P,磷,16.0,多种,II,常规,高压>250GPa,2014,
元素超导体(高压),Si,硅,8.5,多种,II,常规,高压>130GPa,1964,
元素超导体(高压),Sc,钪,8.2,多种,II,常规,高压>74GPa,2019,
元素超导体(高压),Ce,铈,7.3,多种,II,常规,高压>50kbar,1978,
元素超导体(高压),Te,碲,7.1,多种,II,常规,高压>120GPa,1975,
元素超导体(高压),Se,硒,6.9,多种,II,常规,高压>130GPa,1975,
元素超导体(高压),Ge,锗,5.4,多种,II,常规,高压>120GPa,1964,
元素超导体(高压),Bi II,铋II相,3.9,多种,I,常规,高压>25kbar,1965,
元素超导体(高压),Bi III,铋III相,3.9,多种,I,常规,高压>27kbar,1965,
元素超导体(高压),Br,溴,1.4,多种,II,常规,高压>80GPa,2019,
元素超导体(高压),I,碘,1.2,多种,II,常规,高压>50GPa,2019,
元素超导体(高压),O,氧,0.6,多种,II,常规,高压>100GPa,2019,
其他特殊超导体,Ba1-xKxBiO3,钡钾铋氧,30,Perovskite,II,常规(s波),常压,1988,
其他特殊超导体,LuNi2B2C,镥镍二硼二碳,16.6,LuNi2B2C,II,常规,常压,1994,
其他特殊超导体,YNi2B2C,钇镍二硼二碳,15.5,LuNi2B2C,II,常规,常压,1994,
其他特殊超导体,FeTe0.5Se0.5,铁硒碲,14.5,PbO,II,非常规(s±),常压,2009,拓扑超导体候选
其他特殊超导体,FeTe0.55Se0.45,铁硒碲,14.5,PbO,II,非常规,常压,2010,零能模观测
其他特殊超导体,LiTi2O4,锂钛氧(尖晶石),13.7,Spinel,II,常规,常压,1974,
其他特殊超导体,La3Ni2B2N3,三镧二镍二硼三氮,12.5,La3Ni2B2N3,II,常规,常压,2001,
其他特殊超导体,ZrN,氮化锆,10.0,NaCl,II,常规,常压,1962,
其他特殊超导体,YN,氮化钇,9.5,NaCl,II,常规,常压,1962,
其他特殊超导体,HfN,氮化铪,8.5,NaCl,II,常规,常压,1962,
其他特殊超导体,VN,氮化钒,8.0,NaCl,II,常规,常压,1962,
其他特殊超导体,MgCNi3,碳镍三镁,8,Perovskite,II,常规,常压,2001,
其他特殊超导体,Bi2Te3,碲化铋,8.0,R-3m→C2/m,II,非常规?,高压~8GPa,2013,
其他特殊超导体,Sb2Te3,碲化锑,7.0,R-3m→Im-3m,II,非常规?,高压~20GPa,2013,
其他特殊超导体,ZrP2-xSex,锆磷硒,6.3,PbFCl,II,常规,高压,2014,
其他特殊超导体,ZrB12,十二硼化锆,6.0,UB12,II,常规,常压,1965,
其他特殊超导体,TiN,氮化钛,5.5,NaCl,II,常规,常压,1962,
其他特殊超导体,HfP2-xSex,铪磷硒,5.5,PbFCl,II,常规,高压,2014,
其他特殊超导体,Na2CoO2·yH2O,钠钴氧水合物,5,层状,II,非常规(p波?),常压,2003,三角晶格
其他特殊超导体,ScN,氮化钪,5.0,NaCl,II,常规,常压,1962,
其他特殊超导体,CrN,氮化铬,5.0,NaCl,II,常规,常压,1962,
其他特殊超导体,Bi2Se3,硒化铋,4.4,R-3m→C2/m,II,非常规?,高压~12GPa,2013,拓扑绝缘体压致超导
其他特殊超导体,WO3,三氧化钨,3.0,Perovskite,II,常规,高压~3GPa(掺杂),1965,
其他特殊超导体,WTe2,碲化钨,2.5,Orthorhombic,II,非常规?,高压~6.5GPa,2016,Weyl半金属
其他特殊超导体,MoTe2,碲化钼,2.0,Orthorhombic,II,非常规?,高压~10GPa,2016,
其他特殊超导体,ZrTe5,碲化锆,2.0,Orthorhombic,II,非常规?,高压~5GPa,2016,
其他特殊超导体,HfTe5,碲化铪,2.0,Orthorhombic,II,非常规?,高压~5GPa,2016,
其他特殊超导体,LaPd2B2C,镧钯二硼二碳,1.8,LuNi2B2C,II,常规,常压,2001,
其他特殊超导体,Cd3As2,砷化镉,1.5,Tetragonal,II,非常规?,高压~10GPa,2016,Dirac半金属
其他特殊超导体,NbO,氧化铌,1.4,NaCl,II,常规,常压,1965,
其他特殊超导体,TiO,氧化钛,0.6,NaCl,II,常规,常压,1965,
其他特殊超导体,SrTiO3,钛酸锶,0.4,Perovskite,II,常规,常压(掺杂),1964,最低载流子密度超导体
其他金属间化合物,MgB2,二硼化镁,39.0,Hexagonal (AlB2),II,常规(双带s波),常压,2001,最高Tc常规超导体(常压)
其他金属间化合物,PuCoGa5,钚钴镓五,18.5,HoCoGa5,II,非常规,常压,2002,最高Tc重费米子
其他金属间化合物,NbN,氮化铌,16.0,NaCl (B1),II,常规,常压,1962,薄膜应用
其他金属间化合物,PbMo6S8,铅钼硫( Chevrel相),15.3,Rhombohedral,II,常规,常压,1972,高Hc2
其他金属间化合物,MoN,氮化钼,14.0,NaCl,II,常规,常压,1965,
其他金属间化合物,SnMo6S8,锡钼硫,12.0,Rhombohedral,II,常规,常压,1972,
其他金属间化合物,LaMo6Se8,镧钼硒,11.0,Rhombohedral,II,常规,常压,1972,
其他金属间化合物,PuRhGa5,钚铑镓五,8.7,HoCoGa5,II,非常规,常压,2002,
其他金属间化合物,CeRu2,铈钌二,6.2,Laves Cubic (C15),II,常规,常压,1978,
其他金属间化合物,CeAu2Si2,铈金二硅二,2.5,ThCr2Si2,II,非常规,高压~22GPa,2022,
其他金属间化合物,PrOs4Sb12,镨锑十二,1.85,LaFe4P12,II,非常规,常压,2002,重费米子
其他金属间化合物,UTe2,铀碲二,1.6,Orthorhombic,II,非常规(拓扑?),常压,2019,可能手性拓扑超导体
其他金属间化合物,URu2Si2,铀钌二硅二,1.5,ThCr2Si2,II,非常规,常压,1985,隐藏序
其他金属间化合物,UBe13,铀铍十三,0.9,NaZn13,II,非常规,常压,1983,重费米子
其他金属间化合物,UGe2,铀锗二,0.8,Orthorhombic,II,非常规,高压~1GPa,2000,铁磁超导体
其他金属间化合物,CeCu2Ge2,铈铜二锗二,0.6,ThCr2Si2,II,非常规,高压~8GPa,1996,
其他金属间化合物,UPt3,铀铂三,0.5,hcp,II,非常规(多相),常压,1984,重费米子; 多超导相
其他金属间化合物,CeCu2Si2,铈铜二硅二,0.5,ThCr2Si2,II,非常规,常压,1979,首个重费米子超导体
其他金属间化合物,UCoGe,铀钴锗,0.5,Orthorhombic,II,非常规,常压,2007,铁磁超导体
其他金属间化合物,CeRh2As2,铈铑二砷二,0.4,CaBe2Ge2,II,非常规,常压,2021,重费米子
其他金属间化合物,CePd2Si2,铈钯二硅二,0.4,ThCr2Si2,II,非常规,高压~3GPa,1996,
